time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
0,0,0,0,0,0,0,0
0.1,27.047056342949,27.047036387346,0.01767110197127,0.0043841874905592,11896.877509057,2951.9891786426,45.33995415833
0.2,27.094128685812,27.094048693314,0.035326961909809,0.0087968285661774,23803.675700284,5928.9581162027,181.00018796878
0.3,27.141219343783,27.141038976326,0.052967423838638,0.013237211080501,35720.202952234,8930.509717098,406.44816571825
0.4,27.188330604325,27.188009265111,0.070592333567235,0.017704612760569,47646.27121589,11956.2388943,721.16044057911
0.5,27.235464727236,27.234961559046,0.088201538751865,0.022198302010615,59581.695996387,15005.733053561,1124.6225055022
0.6,27.282623944725,27.281897828512,0.10579488896496,0.026717538710832,71526.296342016,18078.572576876,1616.3286464443
0.7,27.329810459544,27.328820013318,0.12337223424038,0.031261574896471,83479.893801408,21174.331226553,2195.7817976228
0.8,27.377026452942,27.375730030827,0.14093343129083,0.035829655997106,95442.316580958,24292.57693629,2862.4934006734
0.9,27.424274072971,27.422629764673,0.15847833403806,0.040421021042054,107413.39307584,27432.87189569,3615.9832633171
1,27.471555442602,27.469521073016,0.17600680114754,0.045034903403887,119392.95691893,30594.773009474,4455.7794230803
1.1,27.518872657621,27.516405786741,0.19351869292992,0.049670532179685,131380.84483267,33777.832790151,5381.418012262
1.2,27.566227787108,27.563285710171,0.21101387216347,0.054327132408055,143376.89713535,36981.599462449,6392.4431253981
1.3,27.613622873408,27.610162621269,0.22849220430892,0.059003925941813,155380.95783785,40205.617516528,7488.4066892276
1.4,27.661059932711,27.657038272443,0.24595355769779,0.063700132124016,167392.87472544,43449.428130462,8668.8683351423
1.5,27.70854095366,27.703914389422,0.26339780293165,0.068414968599516,179412.49890017,46712.569685823,9933.3952734736
1.6,27.756067900022,27.750792674092,0.28082481374904,0.073147651815499,191439.68533009,49994.5780773,11281.562171371
1.7,27.803642709629,27.797674803645,0.29823446711358,0.077897397781372,203474.29286584,53294.98720145,12712.951031518
1.8,27.851267294074,27.844562430527,0.31562664269174,0.082663422748164,215516.18383982,56613.329388211,14227.151074545
1.9,27.898943539507,27.891457183383,0.33300122361103,0.087444943684647,227565.2245446,59949.135704199,15823.75862298
2,27.946673306845,27.938360667461,0.35035809642104,0.092241179089538,239621.28516774,63301.936480729,17502.376988113
