time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
1.6,27.11238007338,27.10858902045,0.46673896284069,0.1257729256404,3146378.9936537,848487.62066638,22919.031098771
1.7,27.118109840418,27.110405701575,0.52345508086352,0.13762714870918,3528701.9261062,928485.77119956,27207.005601536
1.8,27.137859889518,27.126510810025,0.5723223721079,0.15214008983917,3859486.3027637,1026985.0053271,31821.741700104
1.9,27.157594790598,27.141983545274,0.62423030543153,0.17391334049662,4210463.3680258,1174016.7756416,36767.762542415
2,27.176170447757,27.155579063923,0.68005604303243,0.19556546426782,4588359.0491549,1320770.7168463,42058.321282029
