time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
1.6,29.576904910284,29.576334877955,0.1435703357713,0.037908005126972,25252.115093444,6704.8373996373,16147.077659862
1.7,29.774155857705,29.77258721102,0.18586068943626,0.046768889099084,32818.769864511,8315.9755093025,19270.186302576
1.8,29.978408668919,29.975456241242,0.23295544538202,0.056265170146689,41294.612181134,10056.148434221,22686.30825588
1.9,30.194174522933,30.189789288605,0.27480063405504,0.064178176128901,48896.884687682,11530.652969718,26387.549941192
2,30.428212158532,30.422712279092,0.30584606944765,0.06921824190791,54624.661520881,12503.157998556,30360.557253791
