time,ep_int,psie_corr_active_int,psip_active_int
1.5,0,0,0
1.6,2.612195105632,274.61200906245,252.33758783623
1.7,2.9061025298831,92.769850854668,281.1771672769
1.8,3.1278192897921,93.576980770807,302.31346012631
1.9,3.361724430793,103.97794888477,325.10975767249
2,3.5611376622521,153.84169081822,344.30521481324
2.1,3.7872901659598,95.852575086987,366.43839312346
2.2,4.0065008084322,92.82121871295,387.50024915618
2.3,4.2000259367184,96.821583449973,405.86238767224
2.4,4.3959819211695,120.7422013129,424.70592941262
2.5,4.6010089190394,95.966121955113,444.42783717491
