time,ep_int,psie_corr_active_int,psip_active_int
0,0,0,0
0.1,0,2.9732263782249,0
0.2,0.0011428375853516,27.665661612209,0.098380010885774
0.3,0.011927235164212,74.254442938273,1.059032825478
0.4,0.048832517487316,113.41307672609,4.3803457737492
0.45,0.088566544823597,115.01931114917,7.9476045301748
0.5,0.14153680780471,106.95171017629,12.764408804537
0.55,0.20370159570404,97.728863769189,18.480342092437
0.6,0.27283657252894,91.129312847565,24.898438095505
0.65,0.34692315945039,87.738673275982,31.831942622503
0.7,0.42504970873187,87.238729940017,39.191120976432
0.75,0.50741231833305,89.808813380207,46.991328052999
0.8,0.59462077271303,96.005900023063,55.289340989764
0.85,0.68749837343729,105.58856469227,64.163436539972
0.9,0.7869867391391,116.49763866817,73.702994136
0.95,0.8936513322682,125.22336309225,83.959132470549
1,1.0073198716285,128.68874502103,94.908535671586
1.05,1.1253894254898,121.11994838213,106.2843339659
1.1,1.2444530780162,104.98040434489,117.74195229509
1.15,1.3635584725691,91.520694265157,129.19043450818
1.2,1.4824251309309,86.70687658081,140.60959632397
1.25,1.5998993620891,86.775774432979,151.89098034027
1.3,1.7145900239149,86.9245295915,162.90260276512
1.35,1.8253479700901,86.864176272377,173.53519436223
1.4,1.9320060208189,86.724805335407,183.77487522699
1.45,2.0357756470476,87.072990467829,193.7415479638
1.5,2.1383747358053,90.672695174217,203.60155250064
