time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
0,0,0,0,0,0,0,0
0.1,27.013389927965,27.013384911815,0.0081655908688156,0.0022053867541006,2747.612669899,742.36463943404,1.1370498013112
0.2,27.054104184941,27.054032376929,0.032658261705195,0.0077830113966419,11001.311193774,2625.2482680947,15.459057046544
0.3,27.121435440825,27.121143315044,0.06963903888294,0.013905356046519,23492.086038764,4702.3618800977,65.270498339799
0.4,27.208820576597,27.208173002804,0.10712063873001,0.017206719815825,36191.904128623,5833.4671415735,169.96450761081
0.5,27.311509536915,27.310503649786,0.1358981878013,0.019944953530018,45990.548522042,6751.194256548,350.54756968667
0.6,27.426841124842,27.425619195147,0.15280496453629,0.023107885831322,51804.797267951,7819.3415092068,633.3224228053
0.7,27.552797656197,27.551522771273,0.15878043129379,0.025315566287781,53937.231013687,8581.9728602141,1059.2971278607
0.8,27.686695709627,27.685426960867,0.15686897942992,0.025877698208768,53405.884060625,8790.6315960562,1688.8833612215
0.9,27.82503833286,27.823747124336,0.15531157441748,0.02982689904809,52998.684357712,10170.894233263,2593.1914400736
1,27.964948102468,27.963517309601,0.16108089785573,0.035667339078589,55101.45148814,12190.896079547,3850.5931561749
1.1,28.092325415887,28.090626474424,0.17216362121333,0.042098870955957,59021.186121808,14423.558655598,5463.5531698932
1.2,28.195713527247,28.193719600985,0.18158925079201,0.047105238065686,62362.800183538,16177.992819437,7387.3562939164
1.3,28.281406084626,28.279108767946,0.18974585442843,0.050575861021011,65264.662586131,17420.401495974,9622.3324632248
1.4,28.363017729626,28.360209439372,0.20525991960986,0.054651222171628,70712.514286463,18891.321286136,12190.773467102
1.5,28.451788145173,28.447956956919,0.23406045799172,0.061432399848871,80788.941129784,21315.899450135,15102.49459814
1.6,28.555110610369,28.549557667992,0.2771755658265,0.071220701862665,95877.641350688,24802.019293373,18350.732748702
1.7,28.677758109148,28.669887853362,0.32469785574478,0.082802794960624,112580.04134654,28938.390790965,21917.752056741
1.8,28.823048223624,28.812686353141,0.37088528511589,0.09435981497035,128923.44320319,33098.135779181,25776.658678502
1.9,28.993303259493,28.980743198121,0.40971522027184,0.10404617545406,142809.00795802,36629.586640819,29906.095714647
2,29.189763199639,29.17551377301,0.44228033407748,0.11074393954237,154617.46452217,39124.886598877,34307.432460319
