time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
1.6,27.115060861588,27.114802059746,0.060438863147331,0.014019380661341,407372.39738252,94485.524969127,22759.125890638
1.7,27.127809419237,27.126854408165,0.11387937352975,0.026407744987162,767731.97223013,178009.97672374,27037.202205154
1.8,27.141567633759,27.139573921751,0.16760408588541,0.045392326511126,1130211.9701568,306356.94192197,31636.97472507
1.9,27.156609635015,27.153173907721,0.22382034651773,0.06759699398235,1509737.8715861,456348.39375697,36572.265899567
2,27.172564763843,27.167282023872,0.28202932255996,0.088573527813548,1902896.671786,598130.91626627,41848.463302678
