time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
1.6,29.575792167559,29.57568502848,0.039169651806639,0.008441216988442,6895.1114544101,1481.6016012342,16139.88411627
1.7,29.773019219419,29.772472335793,0.087885780026167,0.019345103905115,15530.021807633,3408.5158098513,19262.635059747
1.8,29.976908224544,29.975569912439,0.13661650637313,0.029791749737861,24234.738966042,5269.6266125975,22678.205619589
1.9,30.192261631007,30.190049963623,0.1773230363358,0.03768682150445,31573.978682076,6657.3806664471,26378.725567754
2,30.426187221727,30.423330879121,0.20304729354619,0.042394266102586,36289.804517545,7503.8322093385,30351.15934829
