time,J_F_int,J_Fbar_int,ep_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int,psip_active_int
1.6,28.12433483265,28.124178127777,0,0.049591469684248,0.01070407479985,170233.72238289,36933.46650712,601560.97144086,-nan
1.7,28.182000426791,28.181381244791,0,0.099340920806777,0.021445695469779,341346.68807248,74091.607235905,667873.24343697,-nan
1.8,28.239319236257,28.237939156097,0,0.14913774345391,0.03224756161261,512955.23005231,111551.94749624,736726.54253187,-nan
1.9,28.296389235536,28.293952760281,0,0.19884066781987,0.043129701440275,684569.69487089,149383.49328033,808047.01092767,-nan
2,28.353301935279,28.349513108696,0,0.24834461249766,0.054109714171648,855824.34142179,187647.46999743,881768.77365713,-nan
