time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
1.6,29.9568,29.9568,6.4883960990704e-12,1.6633361354934e-12,2.2986818166597e-05,5.8930778775353e-06,137221.86825042
1.7,30.1467,30.1467,9.6483149772387e-12,2.3323565301325e-12,3.428928147123e-05,8.288844425645e-06,155233.16674423
1.8,30.3372,30.3372,1.4238075620175e-11,3.0004887463519e-12,5.0760227377489e-05,1.0697306744116e-05,174394.35411906
1.9,30.5283,30.5283,1.9318923528409e-11,3.6703973194108e-12,6.9091494328942e-05,1.3126679743181e-05,194712.0321537
2,30.72,30.72,2.4574047703394e-11,4.6533887854139e-12,8.8160557009679e-05,1.6694191214602e-05,216192.79296284
