time,J_F_int,J_Fbar_int,ep_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int,psip_active_int
1.6,31.6875,31.6875,1.4040501928406,3.8287405895044e-08,1.3580820468206e-08,0.1395044180804,0.049483227982557,332754.14288334,1347.7693496969
1.7,32.67,32.67,1.7292266422659,4.0699854244683e-08,1.2759824086217e-08,0.15057589458175,0.047207095918988,484064.84218317,1676.0046876002
1.8,33.6675,33.6675,2.0592203768151,5.1694509003601e-08,1.569120788858e-08,0.19415021585737,0.058931818334903,665530.20142723,2012.4305594734
1.9,34.68,34.68,2.3938906775928,6.4886087117008e-08,1.9560747688274e-08,0.24733134531838,0.074561223504244,877952.0730663,2356.5429094222
2,35.7075,35.7075,2.7331321893572,7.9446618189692e-08,2.4215712102205e-08,0.30728627785964,0.093662338608672,1122127.2396422,2707.9622638644
