bc_case,xfix,yfix,zfix,fbar_correction_int_ref,fbar_correction_max_ref,fbar_pressure_correction_int_ref,fbar_pressure_correction_max_ref,psie_ref_first,psie_restart_first,abs_err_first,rel_err_first,psie_ref_target,psie_restart_target,abs_err_target,rel_err_target
heavily,"left right top","bottom","front back",3.5767182766738999e-08,1.2996193454740000e-08,1.3232665384935000e-01,4.8081583568689003e-02,2.5610434501014999e+05,3.3275414288334001e+05,7.6649797873190022e+04,2.9929128250499704e-01,4.8406259055764001e+05,1.1221272396422001e+06,6.3806464908456011e+05,1.3181449290462826e+00
constrained,"left top","bottom","front back",4.2730335289355997e-01,8.4604897707258001e-02,1.4375579452090999e+06,2.8466009269189002e+05,9.6754899038158001e+01,1.0078623845396000e+02,4.0313394158019946e+00,4.1665481085480988e-02,1.0122659744860999e+02,1.0958422844262000e+02,8.3576309940100089e+00,8.2563587087405091e-02
uniaxial,"left","bottom","back",4.4006863576265998e-12,8.3155704544424003e-13,1.4801167256048000e-05,2.7968035295107999e-06,9.3538378887527003e+01,9.7238023562926998e+01,3.6996446753999948e+00,3.9552157300572252e-02,9.7416282227862993e+01,1.0523242381602000e+02,7.8161415881570093e+00,8.0234447562621491e-02
