time,J_F_int,J_Fbar_int,ep_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int,psip_active_int
1.6,27.147574376179,27.131485814138,2.7550433745384,1.8987956354635,0.33686066810572,642685.34743637,114107.21189869,262.83502211947,2770.6149620646
1.7,26.989534862171,26.953949285764,3.0287314999732,1.9710321456382,0.36648567263361,664103.69216224,122975.34800823,152.91870790537,3062.8207084632
1.8,26.925590624296,26.878696480643,3.2778631644857,2.0247709908328,0.36345719828159,681547.52316333,122348.95533303,114.33241410394,3329.1620493609
1.9,26.903209905283,26.853673810545,3.5183014020884,2.049886904862,0.34499722112948,690205.77099213,116565.21125664,111.8808605098,3586.9474594818
2,26.854297535616,26.804778560929,3.7481101095844,2.0488133556972,0.33945598622212,689198.91497275,114369.13556058,101.51263214986,3834.7501769277
