time,J_F_int,J_Fbar_int,ep_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int,psip_active_int
1.6,27.061028402676,27.044181209152,2.6018777960505,1.5264077856581,0.24465829648999,2574283.2403167,412272.92557568,300.22430624207,2605.7093359063
1.7,26.952626314072,26.906474476667,2.8851825858926,1.6886962663357,0.28364184496995,2839980.111417,476596.89059694,115.08056712835,2907.306276448
1.8,26.900493510367,26.841894812666,3.1331154612748,1.7612451282224,0.29020427379736,2959934.0182668,488431.76952658,102.21997089328,3171.7680630669
1.9,26.89363828486,26.847007777237,3.3532602542834,1.70248150443,0.2738386390581,2861235.5946137,460370.08941096,100.43017591368,3407.2634955206
2,26.940672758975,26.905651590489,3.5779801641595,1.6310014559395,0.26881942357415,2743480.9882488,451824.85030333,106.59037570723,3648.6120154585
