dump_time,target_time,fbar_correction_int_at_dump,fbar_correction_max_at_dump,fbar_pressure_correction_int_at_dump,fbar_pressure_correction_max_at_dump,psie_ref_first,psie_restart_first,abs_err_first,rel_err_first,psie_ref_target,psie_restart_target,abs_err_target,rel_err_target
0.8,0.8250000000000001,3.5171024382552998e-02,6.7034257450605997e-02,6.0718001370611001e-02,1.1568285186204000e-01,2.8402415854404000e-03,2.8402414715100999e-03,1.1393030008993721e-10,4.0112890633657660e-08,3.0274414309211998e-03,3.0274211113971001e-03,2.0319524099768338e-08,6.7117810743527566e-06
1.6,1.625,6.9665655799083001e-02,1.0132713835830000e-01,1.2641852895026001e-01,1.8477576196730999e-01,1.2888148988872000e-02,1.2888148084853000e-02,9.0401900028347359e-10,7.0143431850766903e-08,1.3286130852440001e-02,1.3285988979668000e-02,1.4187277200088111e-07,1.0678260930632498e-05
2.4,2.425,1.0309233843770001e-01,1.7897819833904000e-01,1.9211905652989000e-01,3.3235750433268002e-01,3.0446752160467001e-02,3.0446750749199999e-02,1.4112670025656637e-09,4.6351971964947257e-08,3.1042809005288999e-02,3.1042593766990000e-02,2.1523829899991465e-07,6.9335960854329533e-06
3.2,3.225,1.3162908404500001e-01,2.1311977421197001e-01,2.5781958410950001e-01,4.1769788225517002e-01,5.5680195785667998e-02,5.5680195572693998e-02,2.1297399954711693e-10,3.8249506227838399e-09,5.6505914229671002e-02,5.6505882964406000e-02,3.1265265001967357e-08,5.5330960357332130e-07
4,4.025,1.6007532783992001e-01,2.5743638537338998e-01,3.2352011168911998e-01,5.1857630776401997e-01,8.9620558207814005e-02,8.9620558570270001e-02,3.6245599577267029e-10,4.0443398593010302e-09,9.0673744813908996e-02,9.0673786821426003e-02,4.2007517006559247e-08,4.6328203486876895e-07
