time,J_F_int,J_Fbar_int,ep_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int,psip_active_int
1.6,31.980502405236,31.980370283357,0,0.044029960155676,0.0081160809491121,32261.907819481,6052.0800364622,584801.89342819,-nan
1.7,32.242174798941,32.24165621969,0,0.087849084349393,0.016206943208604,64627.957397749,12145.125918826,651823.3784912,-nan
1.8,32.501003975244,32.499855971134,0,0.13158442515,0.024286662604226,97182.400866055,18288.099442106,721740.18047906,-nan
1.9,32.75734918989,32.755336259043,0,0.17538977214879,0.03236775447217,130031.26326319,24489.178993221,794485.72207479,-nan
2,33.011544448246,33.008435435547,0,0.21920432238673,0.040461334343219,163127.63271773,30755.827739735,870000.36506034,-nan
