time,J_F_int,J_Fbar_int,ep_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int,psip_active_int
0,0,0,0,0,0,0,0,0,0
0.1,27.013389906541,27.01338488936,0,0.0081662957914561,0.0022056768783134,2747.8498959854,742.46230739581,1.1371070635566,0
0.2,27.054102676914,27.054030423646,0.00010634979084031,0.032730269169437,0.0078274050344165,11025.591922541,2640.2274675475,15.37586205517,0.0088561827507233
0.3,27.121363990817,27.121042828742,0.0079881095735878,0.072421332084932,0.015253500749652,24432.149234458,5158.6136658952,56.724880834349,0.68925662142557
0.4,27.206842525009,27.205981962618,0.033515146985072,0.1220219191394,0.023150143392952,41233.572592335,7849.7803451817,130.42271557246,2.930187277277
0.5,27.299276431951,27.297429684024,0.091204077852007,0.18142847727856,0.031927385824924,61408.459653479,10847.622567836,227.41419603726,8.0858744963421
0.6,27.387109566163,27.3833839511,0.18424707677452,0.26102066740457,0.044551507064362,88463.617527217,15051.00256048,339.85202765886,16.600474199141
0.7,27.461777948942,27.454294697363,0.32194543707952,0.37248950059764,0.068959554369665,126350.17411148,23300.458230051,447.62624777987,29.459201578882
0.8,27.517236490136,27.502571254205,0.50541162923457,0.52199511749386,0.098257421795553,177141.40917733,33203.629803004,529.80394940574,46.962233330526
0.9,27.550076871898,27.522827871902,0.73332866781819,0.70934591528052,0.13099113531583,240735.64294574,44268.433996973,568.94143913541,69.14409771214
1,27.561720177023,27.514392750768,1.0030794805007,0.93547639067336,0.16595828709877,317384.95446764,56086.607347859,558.22863685734,95.870652306722
1.1,27.545011512683,27.469507954193,1.303420566749,1.1838055762138,0.20276967180302,401296.11775217,68379.892198519,482.6312297223,126.10908421438
1.2,27.495320026535,27.386055319319,1.6166716466758,1.4258901636887,0.25204315858371,482657.73977545,84968.725151576,355.2661613643,158.08920513592
1.3,27.423902145092,27.280862561048,1.9250335871306,1.6330585351022,0.29332443685611,551817.26704897,98866.876313536,230.00975545298,189.93332004282
1.4,27.347623900449,27.177325728589,2.2159278086652,1.7833242064089,0.32061731287401,601588.51033831,108061.56889109,145.97271086981,220.24119516048
1.5,27.280365826715,27.093408970194,2.4850623667291,1.871051141245,0.33193384749304,630348.3005892,111876.1284979,107.83187599379,248.46942472088
1.6,27.231064068653,27.037711565487,2.7350467076332,1.9057805833474,0.32985901588845,641493.74819092,111169.46136516,98.089951365285,274.82832392148
1.7,27.203514632334,27.010389006953,2.9705843472499,1.907991627423,0.32000058356785,641968.82687435,107834.00663537,96.712692980386,299.78048114801
1.8,27.197851158237,27.007569641875,3.1942911513952,1.8979006196707,0.30802628262659,638554.03860441,103798.03688975,97.213631874943,323.58427582398
1.9,27.211703189996,27.024400708071,3.4081770648248,1.885104326913,0.29735926759921,634437.58870197,100215.89203737,99.243576573862,346.44190303033
2,27.240019856636,27.054710714686,3.614649462108,1.8740711382445,0.29026037161685,631060.05734785,97793.960995676,103.70818317761,368.60399888087
