time,J_F_int,J_Fbar_int,ep_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int,psip_active_int
1.6,27.038997195233,27.038655219824,2.7346474810979,0.067579134099584,0.022563585587441,22749.200987864,7604.5152096307,98.214288793734,2747.8560400786
1.7,27.014501717978,27.013411046845,2.9693334066887,0.12601908088102,0.038526640160272,42410.154177671,12983.315260152,96.950425348001,2996.4641644687
1.8,27.014995513873,27.012847014872,3.1922205285291,0.18740516200597,0.045077178877512,63064.71246689,15172.261455061,97.522080393026,3233.6253367949
1.9,27.035141335516,27.031462328499,3.4057832678158,0.25320725919612,0.056995614724583,85230.346526778,19193.674663544,99.789223594956,3461.8645843335
2,27.068273647825,27.062479540409,3.6124822959311,0.32260513324541,0.066265946041088,108646.86656456,22329.171576387,104.90812663739,3683.7482013188
