time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
1.6,28.269630827591,28.269618650736,0.013221146915466,0.0037316642538986,4547.3124052491,1288.1073894727,10213.215934944
1.7,28.349345711902,28.349296913831,0.026432127797475,0.0074709537225901,9103.5492710319,2583.0310162358,11517.392388979
1.8,28.429133185068,28.429023186077,0.039632792183515,0.01121745514952,13668.621927979,3884.6503440069,12898.474708124
1.9,28.508994868559,28.508798954513,0.052822990701415,0.014970756165464,18242.442625877,5192.8443615034,14356.243423969
2,28.588932362371,28.588625685702,0.066002575155976,0.018730445548631,22824.924548098,6507.4916657082,15890.482837793
