time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
1.6,28.549848657787,28.549639308387,0.053983418684201,0.011933852104372,18686.058778517,4121.4165565368,18350.72614683
1.7,28.671046593069,28.670177966342,0.10505828678853,0.025001531937648,36454.645994681,8654.7582908828,21917.664137638
1.8,28.815077875896,28.813283030547,0.14742571025248,0.036123133862212,51286.371482898,12534.671835439,25776.415066264
1.9,28.984385456731,28.981704709305,0.18427659438043,0.045467516629719,64266.159574744,16006.819980062,29905.794226433
2,29.180191684441,29.176804856754,0.21376313434075,0.052620308655524,74747.119226484,18590.206510975,34307.362014078
