time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
1.6,31.008679825131,31.008675068748,0.0094107689765922,0.0012597431438504,33919.646194698,4540.4105494323,250613.4777261
1.7,31.395695316612,31.395675035507,0.020272057336879,0.0026687959736891,73522.696999518,9679.4510609558,300631.1833877
1.8,31.785155210995,31.785075005948,0.036106079642113,0.0050190925860438,131759.33373768,18316.038151446,355422.19939823
1.9,32.177042587765,32.176875034424,0.054034271058836,0.0063982750284426,198394.52342668,23492.00852095,415038.48506007
2,32.571277496874,32.571075075897,0.060910874965063,0.007331260496565,225009.94663769,27081.969504042,479527.7154221
