time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
1.6,27.227533590336,27.227237539166,0.066269161144036,0.015010560090996,223767.76242013,50678.642416397,22441.159021765
1.7,27.249354385031,27.248277835364,0.12289145875331,0.028743320192151,415102.58448329,97072.114250583,26665.600110679
1.8,27.274245931495,27.272141203116,0.17253005741153,0.041557766272231,583048.54509154,140677.4475739,31202.510100931
1.9,27.302082225074,27.298744096127,0.22143582585704,0.061978862061449,748756.42821274,209920.34498214,36064.859166518
2,27.331301013112,27.326334200801,0.27455040824811,0.083829163513265,928880.52647275,284078.88913459,41269.117813668
