time,ep_int,psie_corr_active_int,psip_active_int
1.5,0,0,0
1.6,2.4591699679752,125.66470444092,236.44842841533
1.7,2.6924683869665,91.928787255232,258.88139100211
1.8,2.9103790226495,98.470459064188,279.76532342935
1.9,3.1208376932118,92.646193544661,300.00244395358
2,3.3255982947223,94.991080671064,319.62655571034
2.1,3.5284433391708,95.827534685885,339.05518142999
2.2,3.7305744040897,94.325632690591,358.37457241683
2.3,3.9286808074488,94.939167405435,377.20170489634
2.4,4.1251507227068,95.263898610435,395.83688991552
2.5,4.3204425337771,94.231884304858,414.29029560785
