time,ep_int,psie_corr_active_int,psip_active_int
0,0,0,0
0.1,0,2.7350354558265,0
0.2,0.0004620045664755,29.221452734216,0.038776842050944
0.3,0.018216901021028,76.366224187073,1.5908036946237
0.4,0.06796156184389,109.01760697585,6.060790683411
0.5,0.16330204578994,109.80176691828,14.746717278453
0.6,0.29238177113462,98.845272713047,26.728615094869
0.7,0.44727754361402,94.873508943461,41.329799336857
0.8,0.62730886667302,97.878149223518,58.515223729499
0.9,0.83090478406209,103.9153441695,78.140543182208
1,1.0581822058366,109.75092037185,100.1995693225
1.1,1.2982948190529,103.54647708335,123.56994352626
1.2,1.5354193807678,92.847666837993,146.6256011106
1.3,1.7667335000291,89.527855117115,169.08657072126
1.4,1.9939641479663,89.573779562884,191.14317685067
1.5,2.2159455922404,90.414225847207,212.67613995706
