bc_case,xfix,yfix,zfix,fbar_correction_int_ref,fbar_correction_max_ref,fbar_pressure_correction_int_ref,fbar_pressure_correction_max_ref,psie_ref_first,psie_restart_first,abs_err_first,rel_err_first,psie_ref_target,psie_restart_target,abs_err_target,rel_err_target
constrained,"left top","bottom","front back",6.5904399005873004e-01,1.8257550873333001e-01,2.2295172025986998e+06,6.1870857755936997e+05,2.2441201450633002e+04,2.2441159021765001e+04,4.2428868000570219e-02,1.8906682912635867e-06,4.1268311236162001e+04,4.1269117813668003e+04,8.0657750600221334e-01,1.9544718013453315e-05
uniaxial,"left","bottom","back",6.0492698699823003e-02,1.3413897433398001e-02,2.0385633588529000e+05,4.5203703599483000e+04,1.3418052785975000e+04,1.3418053988239000e+04,1.2022640003124252e-03,8.9600482237562218e-08,2.4864905454545999e+04,2.4864945703123001e+04,4.0248577002785169e-02,1.6186901283964708e-06
