bc_case,xfix,yfix,zfix,fbar_correction_int_ref,fbar_correction_max_ref,fbar_pressure_correction_int_ref,fbar_pressure_correction_max_ref,psie_ref_first,psie_restart_first,abs_err_first,rel_err_first,psie_ref_target,psie_restart_target,abs_err_target,rel_err_target
constrained,"left top","bottom","front back",6.5904399005873004e-01,1.8257550873333001e-01,2.2295172025986998e+06,6.1870857755936997e+05,2.2441201450633002e+04,2.2590074579923999e+04,1.4887312929099789e+02,6.6339197399254493e-03,4.1268311236162001e+04,4.1460648015507999e+04,1.9233677934599837e+02,4.6606409030244076e-03
uniaxial,"left","bottom","back",6.0492698699823003e-02,1.3413897433398001e-02,2.0385633588529000e+05,4.5203703599483000e+04,1.3418052785975000e+04,1.3418341808783000e+04,2.8902280799957225e-01,2.1539847294509722e-05,2.4864905454545999e+04,2.4865297459604000e+04,3.9200505800181418e-01,1.5765395075336784e-05
