bc_case,xfix,yfix,zfix,fbar_correction_int_ref,fbar_correction_max_ref,fbar_pressure_correction_int_ref,fbar_pressure_correction_max_ref,psie_ref_first,psie_restart_first,abs_err_first,rel_err_first,psie_ref_target,psie_restart_target,abs_err_target,rel_err_target
constrained,"left top","bottom","front back",4.3773178207761998e-01,1.1741238576603000e-01,1.4780443789365001e+06,3.9685756260136998e+05,1.2530001657400000e+04,1.2600062755131001e+04,7.0061097731000700e+01,5.5914675549642761e-03,1.9381892931798000e+04,1.9468210175693999e+04,8.6317243895999127e+01,4.4534991602593549e-03
uniaxial,"left","bottom","back",1.1458201270011001e-13,2.7533531010703999e-14,3.8537750271471001e-07,9.2604442632667002e-08,7.4937438057585996e+03,7.4937438057585996e+03,0.0000000000000000e+00,0.0000000000000000e+00,1.1615482925312001e+04,1.1615482925312001e+04,0.0000000000000000e+00,0.0000000000000000e+00
