nu,K_over_G,fbar_correction_int_ref,fbar_correction_max_ref,fbar_pressure_correction_int_ref,fbar_pressure_correction_max_ref,psie_ref_first,psie_restart_first,abs_err_first,rel_err_first,psie_ref_target,psie_restart_target,abs_err_target,rel_err_target
0.30,2.1666666666666665,5.4375757600571999e-02,7.5158822017241000e-02,4.8433562682786001e-02,6.6945449184842007e-02,5.9998708941056004e-03,6.1265549340934001e-03,1.2668403998779970e-04,2.1114460998195275e-02,8.2996996575939001e-03,8.4403920317676993e-03,1.4069237417379914e-04,1.6951501858874028e-02
0.45,9.666666666666668,5.4158701938068002e-02,7.2554154067190998e-02,1.8048405665309000e-01,2.4178696284216999e-01,6.0644283390555997e-03,6.1086097927590000e-03,4.4181453703400278e-05,7.2853451691178789e-03,8.7880896707948006e-03,8.8505595487355006e-03,6.2469877940700066e-05,7.1084707007831715e-03
0.48,24.666666666666643,5.4470538278161000e-02,7.6296190148312001e-02,4.6035935549883999e-01,6.4481949387630999e-01,6.2654704163865003e-03,6.2482210026743997e-03,1.7249413712100599e-05,2.7530915582949784e-03,8.6242748901718992e-03,8.7268533265074996e-03,1.0257843633560033e-04,1.1894151988649765e-02
0.49,49.66666666666662,5.4255364502181998e-02,7.3714104836562003e-02,9.0882945382764002e-01,1.2347820395771001e+00,7.1083426186447996e-03,7.6862595173338997e-03,5.7791689868910007e-04,8.1301216006844576e-02,8.4542610854285005e-03,8.6232559370187003e-03,1.6899485159019983e-04,1.9989310701732890e-02
0.495,99.66666666666659,5.4283548961179998e-02,7.4052318344528995e-02,1.8171318816504001e+00,2.4788878241951999e+00,6.9416032746640998e-03,6.6711161230278999e-03,2.7048715163619994e-04,3.8966091972360471e-02,8.5543686061971998e-03,8.5677191044464997e-03,1.3350498249299972e-05,1.5606643650623406e-03
0.499,499.6666666666663,5.4241514358383001e-02,7.3547903110969995e-02,9.0569640026407008e+00,1.2280643688237999e+01,6.1451979268520003e-03,6.8390377754618996e-03,6.9383984860989928e-04,1.1290764868257588e-01,8.6549898121396004e-03,8.6625713677482008e-03,7.5815556086003544e-06,8.7597510490033926e-04
0.4999,4999.666666667217,5.4218998508886000e-02,7.3277712917004995e-02,9.0368265991422007e+01,1.2213393891888001e+02,6.0408780563276001e-03,6.2645652750965997e-03,2.2368721876899963e-04,3.7028924716448364e-02,8.4708089839666007e-03,8.7403279681314994e-03,2.6951898416489872e-04,3.1817384228004612e-02
