nu,K_over_G,fbar_correction_int_ref,fbar_correction_max_ref,fbar_pressure_correction_int_ref,fbar_pressure_correction_max_ref,psie_ref_first,psie_restart_first,abs_err_first,rel_err_first,psie_ref_target,psie_restart_target,abs_err_target,rel_err_target
0.30,2.1666666666666665,5.3877026984265997e-02,6.9174054621566006e-02,4.7608715625442999e-02,6.1126013803596002e-02,5.3511117339661001e-03,5.3511117339661001e-03,0.0000000000000000e+00,0.0000000000000000e+00,8.2568040758211995e-03,8.2568040758211995e-03,0.0000000000000000e+00,0.0000000000000000e+00
0.45,9.666666666666668,5.3681491421102998e-02,6.6827627863604994e-02,1.8227893290312999e-01,2.2691747887312000e-01,5.5213982990070997e-03,5.5213982990070997e-03,0.0000000000000000e+00,0.0000000000000000e+00,8.4515846674770995e-03,8.4515846674770006e-03,9.8879238130678004e-17,1.1699490926379687e-14
0.48,24.666666666666643,5.3628916937423998e-02,6.6196734059461998e-02,4.5041122424100000e-01,5.5596409047880002e-01,5.5914571555216001e-03,5.5914571555213998e-03,2.0036056147532122e-16,3.5833335730287026e-14,8.5409586398164997e-03,8.5409586398164997e-03,0.0000000000000000e+00,0.0000000000000000e+00
0.49,49.66666666666662,5.3610019817584002e-02,6.5969968621380007e-02,8.9706185283845996e-01,1.1038821191365999e+00,5.6181730768226999e-03,5.6181730768226999e-03,0.0000000000000000e+00,0.0000000000000000e+00,8.5754312447939001e-03,8.5754312447939001e-03,0.0000000000000000e+00,0.0000000000000000e+00
0.495,99.66666666666659,5.3600290750756001e-02,6.5853219819448999e-02,1.7902675814191999e+00,2.1995194974416998e+00,5.6322073179113996e-03,5.6322073179113996e-03,0.0000000000000000e+00,0.0000000000000000e+00,8.5936085751067998e-03,8.5936085751066992e-03,1.0061396160665481e-16,1.1707999116704521e-14
0.499,499.6666666666663,5.3592367680273999e-02,6.5758142973661005e-02,8.9356766256894993e+00,1.0964126545480999e+01,5.6437696798198001e-03,5.6437696798198001e-03,0.0000000000000000e+00,0.0000000000000000e+00,8.6086165351161002e-03,8.6086165351184005e-03,2.3002433291452462e-15,2.6720243836650623e-13
0.4999,4999.666666667217,5.3590567518114002e-02,6.5736541027741999e-02,8.9321233348543004e+01,1.0956534316753000e+02,5.6464129373074998e-03,5.6464129373074998e-03,0.0000000000000000e+00,0.0000000000000000e+00,8.6120513877594000e-03,8.6120513877594000e-03,0.0000000000000000e+00,0.0000000000000000e+00
