time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
1.6,27.057671509983,27.057671509983,1.7628514003746e-13,3.308464613383e-14,5.9290568765932e-07,1.1127469316345e-07,7493.7438057586
1.7,27.061284123047,27.061284123047,1.6983575031004e-13,3.352873534368e-14,5.7121424020945e-07,1.1276831320591e-07,8442.6865490958
1.8,27.064898093312,27.064898093312,1.6763030225224e-13,3.0864200084579e-14,5.6379658324172e-07,1.0380659295114e-07,9446.1658420168
1.9,27.068513483361,27.068513483361,1.6151013196075e-13,2.9976021664879e-14,5.4321241049466e-07,1.0081935286621e-07,10503.867908694
2,27.072130355,27.072130355,1.2860100200989e-13,2.9309887850104e-14,4.3252803675994e-07,9.8578922802517e-08,11615.482925312
