nu,K_over_G,fbar_correction_int_ref,fbar_correction_max_ref,fbar_pressure_correction_int_ref,fbar_pressure_correction_max_ref,psie_ref_first,psie_restart_first,abs_err_first,rel_err_first,psie_ref_target,psie_restart_target,abs_err_target,rel_err_target
0.30,2.1666666666666665,3.0572652499599001e-01,6.8987126053014006e-02,5.4602040165341001e+04,1.2460459396300001e+04,1.6139877253495000e+04,1.6147077659862000e+04,7.2004063669992320e+00,4.4612522474048085e-04,3.0351108231630002e+04,3.0360557253791001e+04,9.4490221609994478e+00,3.1132379380968618e-04
0.40,4.666666666666668,4.4228033407748002e-01,1.1074393954237000e-01,1.5461746452216999e+05,3.9124886598876998e+04,1.8350732748702001e+04,1.8386410998816998e+04,3.5678250114997354e+01,1.9442411702890162e-03,3.4307432460319003e+04,3.4354787220099999e+04,4.7354759780995664e+01,1.3803061431591416e-03
0.45,9.666666666666668,5.5005343772616999e-01,1.3882559701337999e-01,3.7896600010007003e+05,9.6276973591782997e+04,2.0284132474434002e+04,2.0360873664073999e+04,7.6741189639997174e+01,3.7833114005107840e-03,3.7621740315376999e+04,3.7721734718726002e+04,9.9994403349002823e+01,2.6578888299894107e-03
0.48,24.666666666666643,6.3167714515698004e-01,1.6622778882740999e-01,1.0740471136849001e+06,2.8354135730029998e+05,2.1840790987690001e+04,2.1966106352838000e+04,1.2531536514799882e+02,5.7376752160042920e-03,4.0215148706824999e+04,4.0371965201350002e+04,1.5681649452500278e+02,3.8994383849782735e-03
0.49,49.66666666666662,6.5904399005873004e-01,1.8257550873333001e-01,2.2295172025986998e+06,6.1870857755936997e+05,2.2441201450633002e+04,2.2590074579923999e+04,1.4887312929099789e+02,6.6339197399254493e-03,4.1268311236162001e+04,4.1460648015507999e+04,1.9233677934599837e+02,4.6606409030244076e-03
0.495,99.66666666666659,6.8098276320145001e-01,1.8984177093530999e-01,4.5944569716910999e+06,1.2819888504510999e+06,2.2759196628591999e+04,2.2919031098771000e+04,1.5983447017900107e+02,7.0228520271319109e-03,4.1847677020479998e+04,4.2058321282028999e+04,2.1064426154900138e+02,5.0335950893024093e-03
