time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
1.6,27.073946743211,27.073993998624,0.017536974612083,0.0036149926603131,59063.69688123,12175.206317448,13418.341808783
1.7,27.080416407876,27.080464945885,0.017043135583271,0.0038744527543908,57407.210362807,13050.186070992,15970.239350984
1.8,27.087404333201,27.08740301704,0.03213098721174,0.0068374129619899,108242.67845833,23034.433624225,18731.095199704
1.9,27.095950796657,27.095880014974,0.047167173596916,0.0103177140834,158921.84855496,34764.3509515,21696.886906081
2,27.105963276697,27.105813907028,0.060521464451947,0.013414190762797,203953.28407707,45204.706404773,24865.297459604
