time,J_F_int,J_Fbar_int,ep_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int,psip_active_int
1.6,41.671596096571,41.667941457853,0,0.84313008110858,0.14049780650771,176461.95530257,29489.18123912,549172.43006879,-nan
1.7,42.53699329452,42.529752483648,0,0.88483686739947,0.14409364188511,187139.1245557,30474.78869075,617549.37072909,-nan
1.8,43.397296316083,43.386364105077,0,0.9252518533972,0.15040178553053,197693.76418487,31640.057985514,689641.2136769,-nan
1.9,44.252835468413,44.238114124326,0,0.96449108103374,0.1565219511213,208139.64244061,33232.303056777,765406.82679964,-nan
2,45.103946996642,45.085345018245,0,1.0033573473187,0.16246178420976,218637.6051526,34805.432382569,844807.42410624,-nan
