nu,K_over_G,fbar_correction_int_ref,fbar_correction_max_ref,fbar_pressure_correction_int_ref,fbar_pressure_correction_max_ref,psie_ref_first,psie_restart_first,abs_err_first,rel_err_first,psie_ref_target,psie_restart_target,abs_err_target,rel_err_target
0.30,2.1666666666666665,1.6417179165382001e-01,4.0513286779789000e-02,2.8814795816770002e+04,7.1432591822875002e+03,8.9452176469101996e+03,8.9452176469368005e+03,2.6600901037454605e-08,2.9737567141972136e-12,1.3971706888679000e+04,1.3971706888741001e+04,6.2000253819860518e-08,4.4375575807489999e-12
0.40,4.666666666666668,2.7088934523935998e-01,6.9692615531835006e-02,9.3689783995651000e+04,2.4213204835369001e+04,1.0213215934972999e+04,1.0213215934944001e+04,2.8998329071328044e-08,2.8392946213963218e-12,1.5890482837808000e+04,1.5890482837793001e+04,1.4999386621639132e-08,9.4392264695389265e-13
0.45,9.666666666666668,3.5035809642103999e-01,9.2241179089537995e-02,2.3962128516773999e+05,6.3301936480728997e+04,1.1281562171371001e+04,1.1281562171478001e+04,1.0700023267418146e-07,9.4845227149227478e-12,1.7502376988112999e+04,1.7502376988389002e+04,2.7600253815762699e-07,1.5769431680341373e-11
0.48,24.666666666666643,4.1314107473054001e-01,1.1031792365150001e-01,7.0001055667872005e+05,1.8725965336674999e+05,1.2172751852924001e+04,1.2172751850442000e+04,2.4820001272018999e-06,2.0389803038708144e-10,1.8844337379524000e+04,1.8844337376641000e+04,2.8829999791923910e-06,1.5299025490410819e-10
0.49,49.66666666666662,4.3773178207761998e-01,1.1741238576603000e-01,1.4780443789365001e+06,3.9685756260136998e+05,1.2530001657400000e+04,1.2530001657400000e+04,0.0000000000000000e+00,0.0000000000000000e+00,1.9381892931798000e+04,1.9381892931798000e+04,0.0000000000000000e+00,0.0000000000000000e+00
0.495,99.66666666666659,4.5084352538037997e-01,1.2120208945935000e-01,3.0387926003395999e+06,8.1737040689411003e+05,1.2722564853485001e+04,1.2722564853485001e+04,0.0000000000000000e+00,0.0000000000000000e+00,1.9671602820884000e+04,1.9671602820884000e+04,0.0000000000000000e+00,0.0000000000000000e+00
