nu,K_over_G,fbar_correction_int_ref,fbar_correction_max_ref,fbar_pressure_correction_int_ref,fbar_pressure_correction_max_ref,psie_ref_first,psie_restart_first,abs_err_first,rel_err_first,psie_ref_target,psie_restart_target,abs_err_target,rel_err_target
0.45,9.666666666666668,5.3681491421102998e-02,6.6827627863604994e-02,1.8227893290312999e-01,2.2691747887312000e-01,5.9416963293028001e-03,5.9901306047075000e-03,4.8434275404699891e-05,8.1515905088981842e-03,8.4515846674770006e-03,8.2747576130721007e-03,1.7682705440489992e-04,2.0922354962065001e-02
0.48,24.666666666666643,5.3628916937423998e-02,6.6196734059461998e-02,4.5041122424100000e-01,5.5596409047880002e-01,6.0150983500559998e-03,6.0620984538244998e-03,4.7000103768500036e-05,7.8136883278163635e-03,8.5409586398164997e-03,8.3417517753047003e-03,1.9920686451179934e-04,2.3323712584572269e-02
0.49,49.66666666666662,5.3610019817584002e-02,6.5969968621380007e-02,8.9706185283845996e-01,1.1038821191365999e+00,6.0431313675939997e-03,6.0895721057166998e-03,4.6440738122700137e-05,7.6848797912513296e-03,8.5754312447939001e-03,8.3680744035452004e-03,2.0735684124869973e-04,2.4180339778781972e-02
0.495,99.66666666666659,5.3600290750756001e-02,6.5853219819448999e-02,1.7902675814191999e+00,2.1995194974416998e+00,6.0578648647477001e-03,6.1040089863463000e-03,4.6144121598599812e-05,7.6172253143388068e-03,8.5936085751069004e-03,8.3820343831481001e-03,2.1157419195880038e-04,2.4619947500479272e-02
0.499,499.6666666666663,5.3592367680273999e-02,6.5758142973661005e-02,8.9356766256894993e+00,1.0964126545480999e+01,6.0700067908580997e-03,6.1159051120314003e-03,4.5898321173300574e-05,7.5614942049862287e-03,8.6086165351161002e-03,8.3935972062751992e-03,2.1501932884090101e-04,2.4977222293942166e-02
0.4999,4999.666666667217,5.3590567518114002e-02,6.5736541027742998e-02,8.9321233348543004e+01,1.0956534316753000e+02,6.0727829614406004e-03,6.1186249106600999e-03,4.5841949219499467e-05,7.5487547489470506e-03,8.6120513877594000e-03,8.3962479791922992e-03,2.1580340856710081e-04,2.5058304792959028e-02
