time,J_F_int,J_Fbar_int,ep_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int,psip_active_int
1.6,31.6875,31.6875,1.4040501928406,2.117692764779e-08,8.0051623108091e-09,0.077160489233069,0.029167698217443,332754.14288334,1347.7693496969
1.7,32.67,32.67,1.7292266422659,2.3396214546326e-08,7.1841697035779e-09,0.086558195342926,0.02657903288128,484064.84218317,1676.0046876002
1.8,33.6675,33.6675,2.0592203768151,3.5121623798351e-08,1.0115553061851e-08,0.13190706289871,0.037991207835208,665530.20142723,2012.4305594734
1.9,34.68,34.68,2.3938906775928,4.8467783818803e-08,1.3985084201806e-08,0.18474842114896,0.053308033429733,877952.0730663,2356.5429094222
2,35.7075,35.7075,2.7331321893572,6.3327291830534e-08,1.8640047727558e-08,0.24493941022835,0.072096598084936,1122127.2396422,2707.9622638644
