time,J_F_int,J_Fbar_int,ep_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int,psip_active_int
0,0,0,0,0,0,0,0,0,0
0.1,27.001113438189,27.001113129513,0,0.0022115555062068,0.00054206381231214,7438.3475981195,1823.1840740102,0.51085720771896,0
0.2,27.004455243759,27.004450328403,0,0.0088257676430592,0.0021613590632681,29686.380075318,7270.0528258275,8.1667473568137,0
0.3,27.009803594152,27.009779076092,0.0016333059940888,0.019693048594084,0.0048157656060419,66246.016088365,16200.309382234,39.678534876549,0.13583975391409
0.4,27.011809137672,27.011745626237,0.054373320334655,0.031960743266525,0.006921116348697,107517.93209797,23283.508532999,59.279413257897,4.7333467950506
0.5,27.012471539084,27.012337576239,0.14363435883172,0.047443388312444,0.008933849245224,159604.3437622,30054.627061553,67.11424283953,12.829479462149
0.6,27.012974198524,27.012718631449,0.2580832422225,0.065752758310263,0.012281627770574,221200.63821905,41321.756262202,72.23810044719,23.47616342728
0.7,27.013475646983,27.013029424216,0.39522769227679,0.086931148885474,0.016561940830926,292449.28769895,55723.368939266,76.459095134215,36.49937441189
0.8,27.014029230521,27.013306870004,0.55446613174115,0.11086242934685,0.021191520423137,372959.60308453,71300.226172789,80.070110090447,51.882695645786
0.9,27.014668629284,27.01356194893,0.73537615215984,0.13730522846316,0.026335065051747,461919.67499941,88606.426548696,83.150928343374,69.623918031459
1,27.015411569677,27.013791895356,0.93730318008502,0.16603132159601,0.032021347275825,558561.70935212,107738.71890506,85.9643567232,89.700701930754
1.1,27.016227622561,27.013982738558,1.1492949367585,0.19529435745406,0.037894632241287,657010.4329956,127500.15268534,88.389818018218,111.03977866614
1.2,27.017086513576,27.014137635709,1.3605096039747,0.22364669112812,0.04363078654025,752395.49807193,146800.11649778,90.43485528793,132.52944864701
1.3,27.017997300964,27.014272321364,1.5707803056037,0.25138208883805,0.04922589373969,845705.19367193,165625.43912772,92.261031720283,154.1219196168
1.4,27.018957851883,27.014390985165,1.7800575134255,0.27839191580754,0.054684320152104,936574.04277782,183990.80109386,93.894019753699,175.78828848867
1.5,27.0199653448,27.01449681814,1.9882669337839,0.304701899813,0.060005295381712,1025088.5782072,201893.61995207,95.381916876987,197.50282167616
1.6,27.021016516444,27.01459191897,2.1953571004166,0.33034186922748,0.06518718571578,1111349.1292058,219328.40386995,96.754899038158,219.24523643492
1.7,27.022109693361,27.014678376551,2.4013071526348,0.35536538817578,0.070233413774267,1195535.8923169,236306.69334216,98.016926733115,241.00025125377
1.8,27.023244820451,27.014758242378,2.6061002624602,0.37984329515702,0.075150884232919,1277887.1916987,252851.75148312,99.16764173142,262.75485157426
1.9,27.024419702134,27.014831898612,2.8096898845656,0.40381358245456,0.079941487231192,1358530.8228588,268969.92121499,100.23069293701,284.49550819136
2,27.02563206278,27.01489953577,3.0120350853974,0.42730335289356,0.084604897707258,1437557.9452091,284660.09269189,101.22659744861,306.21043731976
