nu,K_over_G,fbar_correction_int_ref,fbar_correction_max_ref,fbar_pressure_correction_int_ref,fbar_pressure_correction_max_ref,psie_ref_first,psie_restart_first,abs_err_first,rel_err_first,psie_ref_target,psie_restart_target,abs_err_target,rel_err_target
0.30,2.1666666666666665,5.5629957281194999e-02,9.0209218184705994e-02,4.7285747957206997e-02,7.6678296424660994e-02,6.0515304226161997e-04,6.0515304226163005e-04,1.0083080204115191e-17,1.6662033403041325e-14,6.3393505481377003e-04,6.3393505481379995e-04,2.9923979960599922e-17,4.7203541961235504e-14
0.45,9.666666666666668,5.5720234812336997e-02,9.1292548558413997e-02,1.8668935022545999e-01,3.0587355972560998e-01,5.3777913697162995e-04,5.3777913697516998e-04,3.5400285133824205e-15,6.5826810116086218e-12,5.5928771704923000e-04,5.5928771705262995e-04,3.3999495926972934e-15,6.0790707341745904e-12
0.48,24.666666666666643,5.5739489659023998e-02,9.1523606718654005e-02,4.6545599532715998e-01,7.6427343920374002e-01,5.2214095006910004e-04,5.2214095006911999e-04,1.9949319973733282e-17,3.8206771506990961e-14,5.4283351673918004e-04,5.4283351673916995e-04,1.0083080204115191e-17,1.8574903526010345e-14
0.49,49.66666666666662,5.5745983763082999e-02,9.1601535967366005e-02,9.3006161434720003e-01,1.5282728309283000e+00,5.1679332407368996e-04,5.1679332407371002e-04,2.0057740190981832e-17,3.8811918143357795e-14,5.3725156065053997e-04,5.3725156065054995e-04,9.9746599868666408e-18,1.8566088434975708e-14
0.495,99.66666666666659,5.5749271249465999e-02,9.1640985803969996e-02,1.8592717391989000e+00,3.0562820147946002e+00,5.1409526886126995e-04,5.1409526886133001e-04,6.0064800355696946e-17,1.1683593293659661e-13,5.3444298057029997e-04,5.3444298057033000e-04,3.0032400177848473e-17,5.6193834084603618e-14
0.499,499.6666666666663,5.5751876544291000e-02,9.1672249341872000e-02,9.2929427682741998e+00,1.5280292240856999e+01,5.1192540997417005e-04,5.1192540997419000e-04,1.9949319973733282e-17,3.8969192747708800e-14,5.3218777825033998e-04,5.3218777825031005e-04,2.9923979960599922e-17,5.6228235941419435e-14
0.4999,4999.666666667217,5.5752464834843002e-02,9.1679308828486003e-02,9.2921738214141001e+01,1.5280043240868000e+02,5.1143580509275003e-04,5.1143580509271003e-04,4.0007060164715114e-17,7.8224988877068824e-14,5.3167934518473005e-04,5.3167934518470001e-04,3.0032400177848473e-17,5.6485926056453867e-14
