time,J_F_int,J_Fbar_int,fbar_correction_int,fbar_correction_max,fbar_pressure_correction_int,fbar_pressure_correction_max,psie_corr_active_int
1.6,28.269037388282,28.268647919947,0.21702184875709,0.056143446741105,74653.989551793,19382.346583927,10232.71301626
1.7,28.349119247254,28.348324267788,0.23050645729919,0.059687421260416,79401.378473516,20639.267256492,11538.073553505
1.8,28.429275298098,28.428048686658,0.24398093021867,0.063238228081743,84157.855730304,21902.580225847,12920.336552237
1.9,28.509507153769,28.507822663974,0.2574456332962,0.0667954760693,88923.514178783,23172.171066222,14379.282620049
2,28.589816405468,28.587647666445,0.27090031442038,0.070358775213259,93698.233735425,24447.924973535,15914.696134199
